 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;;Pole powierzchni obszaru pom. [mm2];Powierzchnia porów;Porowatość [%];Średnia powierzchnia wady [mm2];odch. Stand. Średniej pow. Wady [mm2];Największa wada [mm2];Maks. Średnica fereta [mm];Średnia śr. Fereta [mm];Odch. Stand. Średniej średnicy Fereta [mm];Średnie podobieństwo do okręgu
234;0.002;0.661;0.07;6.718;4.757;33.69;0.034;2.342;0.427;0.831;;;;;;;;;;;
235;0.0003774;0.601;0.037;5.733;4.737;lis.31;0.017;2.499;0.4;0.774;;;;;;;;;;;
236;0.004;0.785;0.084;1.188;4.805;30.964;0.061;1.334;0.75;0.924;;;;;;;;;;;
237;0.0001394;0.941;0.019;9.325;4.798;39.806;0.012;1.541;0.649;0.906;;;;;;;;;;;
238;0.00009871;1;0.014;0.766;4.858;120.964;0.01;1.263;0.792;0.919;;;;;;;;;;;
239;0.0001335;0.902;0.018;8.988;4.928;113.199;0.01;1.813;0.552;0.92;;;;;;;;;;;
240;0.0005342;0.932;0.03;5.778;4.949;161.565;0.024;1.175;0.851;0.915;;;;;;;;;;;
241;0.00001742;1;0.007;10.388;4.998;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
242;0.0009058;0.727;0.046;4.063;5.128;38.66;0.029;1.721;0.581;0.867;;;;;;;;;;;
243;0.00002903;1;0.009;4.053;5.166;33.69;0.005;1.553;0.644;0.909;;;;;;;;;;;
244;0.00001161;1;0.005;4.046;5.166;116.565;0.002;2;0.5;1;;;;;;;;;;;
245;0.00002323;1;0.007;5.501;5.176;135;0.005;1;1;1;;;;;;;;;;;
246;0.0003948;0.723;0.03;9.602;maj.28;108.435;0.022;sty.42;0.704;0.829;;;;;;;;;;;
247;0.00003484;0.686;0.011;9.612;5.284;26.565;0.005;2.089;0.479;0.8;;;;;;;;;;;
248;0.00002903;1;0.009;5.337;5.296;56.31;0.005;1.553;0.644;0.909;;;;;;;;;;;
249;0.001;0.712;0.055;5.422;5.294;145.62;0.031;1.937;0.516;0.865;;;;;;;;;;;
250;0.004;0.729;0.111;8.952;5.316;176.269;0.053;2.015;0.496;0.947;;;;;;;;;;;
251;0.0002497;0.974;0.022;maj.74;5.308;153.435;0.017;1.161;0.861;0.905;;;;;;;;;;;
252;0.00002323;1;0.007;9.443;5.306;135;0.005;1;1;1;;;;;;;;;;;
253;0.00002323;0.698;0.01;10.308;5.361;45;0.005;lut.53;0.395;0.615;;;;;;;;;;;
254;0.000151;0.932;0.018;5.892;5.499;113.199;0.012;1.381;0.724;0.867;;;;;;;;;;;
255;0.00001161;1;0.005;8.277;5.701;153.435;0.002;2;0.5;1;;;;;;;;;;;
256;0.00002323;1;0.008;5.239;5.786;161.565;0.005;1.468;0.681;0.8;;;;;;;;;;;
257;0.00001161;1;0.005;6.911;6.027;116.565;0.002;2;0.5;1;;;;;;;;;;;
258;0.00001161;1;0.005;8.925;6.373;153.435;0.002;2;0.5;1;;;;;;;;;;;
259;0.00002903;1;0.009;8.412;6.583;33.69;0.005;1.553;0.644;0.909;;;;;;;;;;;
260;0.016;0.432;0.224;5.152;6.672;8.653;0.106;2.491;0.402;0.751;;;;;;;;;;;
261;0.00003484;0.809;0.01;2.899;6.711;104.036;0.005;1.809;0.553;0.857;;;;;;;;;;;
262;0.00001161;1;0.005;5.239;cze.72;153.435;0.002;2;0.5;1;;;;;;;;;;;
263;0.0008942;0.671;0.051;5.612;6.824;171.87;0.026;lut.37;0.422;0.844;;;;;;;;;;;
264;0.00001161;1;0.005;1.899;cze.87;153.435;0.002;2;0.5;1;;;;;;;;;;;
265;0.00004645;0.71;0.014;1.851;6.954;30.964;0.006;lut.75;0.364;0.762;;;;;;;;;;;
266;0.00005226;0.799;0.013;4.065;6.947;158.199;0.007;2.278;0.439;0.75;;;;;;;;;;;
267;0.0004587;0.708;0.037;7.855;6.976;23.199;0.02;2.073;0.482;0.832;;;;;;;;;;;
268;0.0004123;0.556;0.039;4.253;7.166;100.62;0.017;lut.48;0.403;0.807;;;;;;;;;;;
269;0.002;0.587;0.083;2.181;7.202;8.366;0.031;2.458;0.407;0.905;;;;;;;;;;;
270;0.0004181;0.72;0.031;1.463;7.212;122.471;0.022;1.724;0.58;0.814;;;;;;;;;;;
271;0.00002323;1;0.007;02.lip;7.258;135;0.005;1;1;1;;;;;;;;;;;
272;0.0006329;0.907;0.035;7.342;7.424;167.905;0.027;sty.26;0.793;0.908;;;;;;;;;;;
273;0.00007548;1;0.013;6.916;7.545;158.199;0.007;1.551;0.645;0.929;;;;;;;;;;;
274;0.00004064;1;0.01;mar.66;7.653;135;0.007;1.596;0.626;0.875;;;;;;;;;;;
275;0.00007548;0.666;0.018;3.005;7.752;15.945;0.005;mar.34;0.299;0.963;;;;;;;;;;;
276;0.002;0.461;0.08;kwi.93;8.002;48.652;0.039;1.823;0.549;0.763;;;;;;;;;;;
277;0.0004935;0.822;0.037;5.166;7.988;31.608;0.02;1.972;0.507;0.899;;;;;;;;;;;
278;0.0005864;0.289;0.072;0.807;08.sty;143.13;0.018;6.476;0.154;0.589;;;;;;;;;;;
279;0.0002206;0.953;0.021;wrz.46;8.034;35.538;0.017;1.259;0.794;0.854;;;;;;;;;;;
280;0.0001626;0.819;0.022;4.875;8.029;153.435;0.012;01.sie;0.556;0.862;;;;;;;;;;;
281;0.00003484;1;0.009;wrz.52;8.171;33.69;0.007;1.291;0.775;0.8;;;;;;;;;;;
282;0.00004645;1;0.01;7.227;8.395;135;0.007;1.229;0.814;0.941;;;;;;;;;;;
283;0.0001452;0.981;0.017;wrz.27;8.451;33.69;0.012;1.365;0.732;0.909;;;;;;;;;;;
284;0.0001974;0.81;0.023;8.154;8.672;18.435;0.014;sty.56;0.641;0.819;;;;;;;;;;;
285;0.00005226;1;0.011;9.863;8.716;116.565;0.007;sty.34;0.746;0.857;;;;;;;;;;;
286;0.00008129;0.993;0.013;5.851;sie.79;111.801;0.01;1.164;0.859;0.824;;;;;;;;;;;
287;0.00006387;0.976;0.014;1.019;9.029;45;0.009;1.714;0.583;0.846;;;;;;;;;;;
288;0.00005226;1;0.01;8.976;9.063;135;0.007;1;1;1;;;;;;;;;;;
289;0.0004761;0.804;0.036;0.781;9.217;42.274;0.022;1.716;0.583;0.886;;;;;;;;;;;
290;0.0002439;0.906;0.024;04.sty;9.294;45;0.017;1.474;0.678;0.894;;;;;;;;;;;
291;0.00008129;1;0.013;4.467;9.366;158.199;0.01;sty.24;0.807;0.824;;;;;;;;;;;
292;0.00002323;0.857;0.009;cze.72;9.465;56.31;0.005;2.031;0.492;0.8;;;;;;;;;;;
293;0.00005806;1;0.011;2.518;9.467;116.565;0.007;1.327;0.753;0.909;;;;;;;;;;;
294;0.0000929;0.671;0.018;8.892;9.475;105.945;0.01;1.828;0.547;0.762;;;;;;;;;;;
295;0.0008593;0.877;0.04;8.241;9.624;165.964;0.029;sty.32;0.758;0.916;;;;;;;;;;;
296;0.00003484;0.503;0.015;lip.67;9.836;170.538;0.002;6;0.167;1;;;;;;;;;;;
297;0.00004064;1;0.01;2.759;10.024;45;0.007;sty.38;0.725;0.875;;;;;;;;;;;
298;0.0003716;0.573;0.035;7.964;10.027;123.69;0.02;1.774;0.564;0.736;;;;;;;;;;;
299;0.00002903;1;0.009;7.648;10.055;123.69;0.005;1.553;0.644;0.909;;;;;;;;;;;
300;0.00005226;0.832;0.013;3.981;10.166;21.801;0.005;2.386;0.419;0.947;;;;;;;;;;;
